ts_code,time,open,close,high,low,vol,amount,pct_change_1m
NVDA.US,202606121600,205.165,205.067,205.18,205.055,518111,106286357,-0.05
AMD.US,202606121600,512.395,512.385,512.92,512.27,161458,82738951,0.0
QCOM.US,202606121600,211.63,211.56,211.73,211.51,280556,59412474,-0.03
TSM.US,202606121600,423.0,422.99,423.02,422.99,4641,1962906,0.0
AVGO.US,202606121600,382.29,382.27,382.31,382.26,4478,1712560,-0.01
MU.US,202606121600,985.715,980.71,985.97,980.71,422250,414874160,-0.51
AMAT.US,202606121600,567.5,567.46,567.5,567.45,2129,1210630,-0.01
LRCX.US,202606121600,366.77,366.77,366.985,366.77,22381,8210929,0.0
ASML.US,202606121600,1867.158,1867.01,1867.285,1866.685,484,903705,-0.01
INTC.US,202606121600,124.55,124.56,124.595,124.525,76987,9605704,0.01
GOOGL.US,202606121600,359.665,359.6,359.7,359.5,119706,43049600,-0.02
MSFT.US,202606121600,390.76,390.78,390.8,390.62,167037,65463181,0.01
META.US,202606121600,567.61,566.8,567.64,566.7,289867,164263718,-0.14
AAPL.US,202606121600,291.14,291.1,291.14,291.02,239391,69636667,-0.01
PLTR.US,202606121600,128.03,127.98,128.039,127.95,465322,59508487,-0.04
SNOW.US,202606121600,232.42,232.78,232.77,232.2,1972288,460731424,0.15
BABA.US,202606121600,112.71,112.82,112.82,112.663,796015,89954801,0.1
TSLA.US,202606121600,405.71,406.02,406.25,405.54,366275,148751022,0.07
CEG.US,202606121600,253.725,253.69,253.725,253.65,2540,647283,-0.01
CCJ.US,202606121600,100.96,100.96,100.99,100.835,443782,44752301,0.01
OKLO.US,202606121600,57.37,57.49,57.5,57.365,921357,53026820,0.19
