ticker,close,change_pct,note
NVDA,194.97,-1.39,假期休市 数据为7月2日
AMD,515.88,-4.26,假期休市 数据为7月2日
QCOM,176.37,-3.12,假期休市 数据为7月2日
TSM,434.72,-2.27,假期休市 数据为7月2日
AVGO,360.22,-2.41,假期休市 数据为7月2日
MU,975.76,-5.49,假期休市 数据为7月2日
AMAT,602.02,0.0,假期休市 数据为7月2日
LRCX,350.14,0.0,假期休市 数据为7月2日
ASML,1768.16,0.0,假期休市 数据为7月2日
INTC,120.41,-5.25,假期休市 数据为7月2日
GOOGL,360.40,-0.36,假期休市 数据为7月2日
MSFT,390.82,1.62,假期休市 数据为7月2日
META,583.54,-4.90,假期休市 数据为7月2日
AAPL,308.86,4.84,假期休市 数据为7月2日
PLTR,129.54,2.84,假期休市 数据为7月2日
SNOW,260.02,-2.45,假期休市 数据为7月2日
BABA,96.22,0.0,假期休市 数据为7月2日
TSLA,394.08,-7.49,假期休市 数据为7月2日
CEG,239.53,0.0,假期休市 数据为7月2日
CCJ,96.54,0.0,假期休市 数据为7月2日
OKLO,52.37,0.0,假期休市 数据为7月2日
