ticker,close,pct_change,date
NVDA,196.935,1.08,2026-07-07
AMD,513.58,-0.82,2026-07-07
QCOM,182.97,3.81,2026-07-07
TSM,431.91,-0.52,2026-07-07
AVGO,370.1,2.68,2026-07-07
MU,933.31,-4.32,2026-07-07
AMAT,551.64,-8.52,2026-07-07
LRCX,324.235,-7.73,2026-07-07
ASML,1743.035,-1.49,2026-07-07
INTC,110.24,-8.4,2026-07-07
GOOGL,367.02,1.98,2026-07-07
MSFT,388.84,-0.42,2026-07-07
META,615.57,5.6,2026-07-07
AAPL,311.095,0.8,2026-07-07
PLTR,134.57,4.08,2026-07-07
SNOW,262.74,1.0,2026-07-07
BABA,98.03,1.97,2026-07-07
TSLA,403.05,2.44,2026-07-07
CEG,239.71,0.19,2026-07-07
CCJ,94.67,-2.9,2026-07-07
OKLO,47.885,-7.63,2026-07-07
