ticker,date,close,pct_change
NVDA.US,2026-07-10,210.74,3.24
AMD.US,2026-07-10,558.32,7.91
QCOM.US,2026-07-10,189.16,1.39
TSM.US,2026-07-10,434.56,-0.55
AVGO.US,2026-07-10,399.89,2.88
MU.US,2026-07-10,981.17,3.41
AMAT.US,2026-07-10,602.61,2.37
LRCX.US,2026-07-10,350.60,5.24
ASML.US,2026-07-10,1797.86,1.65
INTC.US,2026-07-10,109.82,-0.38
GOOGL.US,2026-07-10,356.99,-1.36
MSFT.US,2026-07-10,384.78,0.38
META.US,2026-07-10,670.24,11.13
AAPL.US,2026-07-10,315.33,0.62
PLTR.US,2026-07-10,126.74,-4.14
SNOW.US,2026-07-10,261.45,-2.26
BABA.US,2026-07-10,112.31,3.06
TSLA.US,2026-07-10,407.68,3.46
CCJ.US,2026-07-10,95.99,0.26
CEG.US,2026-07-10,251.38,2.81
OKLO.US,2026-07-10,48.85,-0.85
