ticker,open,close,pct_change_1m
NVDA,203.32,203.08,-0.12
AMD,497.645,497.32,-0.07
QCOM,172.06,171.78,-0.19
TSM,397.61,397.58,-0.01
AVGO,371.79,371.605,-0.06
MU,853.73,853.21,-0.06
AMAT,530.15,530.0,-0.03
LRCX,313.76,313.52,-0.07
ASML,1747.975,1747.965,0.0
INTC,95.23,95.21,-0.02
GOOGL,347.19,346.82,-0.11
MSFT,394.4,393.82,-0.15
META,646.08,646.01,-0.01
AAPL,334.14,333.55,-0.18
PLTR,132.555,132.34,-0.16
SNOW,268.91,268.9,0.0
BABA,115.03,115.02,-0.01
TSLA,381.405,380.84,-0.15
CEG,252.41,252.39,-0.01
CCJ,85.585,85.62,0.04
OKLO,41.205,41.11,-0.23
