ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
NVDA.US,202607271600,196.57,196.43,196.57,196.43,79325,15567146,-5.91,-0.07
AMD.US,202607271600,495.435,495.255,495.47,495.24,9385,4645664,-8.23,-0.04
QCOM.US,202607271600,170.43,170.04,170.44,169.94,3672837,624290656,-0.63,-0.23
ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
TSM.US,202607271600,399.995,399.87,400.06,399.87,19798,7873918,-3.78,-0.03
AVGO.US,202607271600,382.99,382.92,382.99,382.86,14621,5603655,-2.43,-0.02
MU.US,202607271600,899.06,899.44,899.44,898.69,19961,17921013,-9.17,0.03
ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
AMAT.US,202607271600,516.73,516.64,516.81,516.63,4535,2339773,-8.2,-0.02
LRCX.US,202607271600,291.45,291.37,291.49,291.37,10351,3018679,-8.88,-0.03
ASML.US,202607271600,1656.045,1655.875,1656.215,1655.725,1263,2091598,-8.16,-0.01
ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
INTC.US,202607271600,91.5,91.595,91.62,91.44,183573,16805941,-8.62,0.1
GOOGL.US,202607271600,326.53,326.465,326.53,326.4,57664,18811709,2.76,-0.02
MSFT.US,202607271600,389.16,389.13,389.16,388.88,468392,181999904,1.98,-0.01
ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
META.US,202607271600,593.36,593.15,593.36,593.15,10573,6256640,-2.14,-0.04
AAPL.US,202607271600,336.98,336.92,337.04,336.69,578535,194924347,4.74,-0.02
PLTR.US,202607271600,131.59,131.59,131.595,131.58,23189,3039152,6.66,0.0
ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
SNOW.US,202607271600,272.89,272.89,272.89,272.78,1539,420740,2.93,0.0
BABA.US,202607271600,114.76,114.75,114.76,114.75,4045,461378,0.6,-0.01
TSLA.US,202607271600,308.6,309.24,309.34,308.52,701870,216954750,-3.27,0.21
ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
CCJ.US,202607271600,89.23,89.35,89.34,89.23,669829,59823704,1.7,0.15
OKLO.US,202607271600,41.87,41.81,41.9,41.79,1160092,48117965,3.88,-0.14
ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
CEG.US,202607271600,270.11,270,270.15,270,538042,145143573,-1.59,-0.04
