ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
NVDA.US,202608061600,219.18,219.15,219.23,219.125,48326,10591108,3.4,-0.02
AMD.US,202608061600,491.01,491.045,491.11,490.97,6620,3242721,-5.31,0.01
INTC.US,202608061600,100.04,100.02,100.06,100.02,21184,2119626,-0.83,-0.02
QCOM.US,202608061600,160.59,160.37,160.6,160.26,274550,44036908,-1.41,-0.14
AVGO.US,202608061600,421.05,421.07,421.14,421.05,4867,2047648,0.7,0.0
TSM.US,202608061600,418.04,418.0,418.07,417.99,5629,2356694,0.2,-0.01
MU.US,202608061600,883.655,883.735,883.905,883.53,8593,7594473,-1.0,0.0
AMAT.US,202608061600,528.725,528.58,528.83,528.55,4484,2372506,-3.3,-0.03
LRCX.US,202608061600,306.31,306.22,306.34,306.2,8317,2552189,-3.63,-0.03
ASML.US,202608061600,1708.675,1708.155,1708.94,1708.155,681,1164241,-0.22,-0.05
GOOGL.US,202608061600,357.78,357.94,358.0,357.62,419664,150019304,-5.22,0.04
MSFT.US,202608061600,499.975,499.7,500.0,499.7,72324,36270998,1.4,-0.06
META.US,202608061600,589.785,589.9,590.05,589.51,194532,114703370,0.33,0.02
AAPL.US,202608061600,312.455,312.49,312.63,312.34,655292,204758392,1.01,0.01
PLTR.US,202608061600,156.02,156.005,156.025,156.005,10549,1645504,-4.09,-0.01
SNOW.US,202608061600,318.02,317.93,318.02,317.66,75290,23900080,0.34,-0.03
BABA.US,202608061600,126.735,126.73,126.735,126.72,11826,1497639,-1.75,0.0
TSLA.US,202608061600,319.635,319.53,319.79,319.33,405222,129478083,-2.39,-0.03
CCJ.US,202608061600,93.791,93.64,93.81,93.615,100057,9397040,-0.67,-0.16
CEG.US,202608061600,261.44,261.1,261.55,260.675,1019133,265620755,-2.3,-0.13
OKLO.US,202608061600,42.22,42.22,42.23,42.16,178877,7592287,-1.79,0.0
