ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
AAPL.US,202608101600,307.855,308.25,308.25,307.8,1004025,309445520,-1.33,0.13
AMAT.US,202608101600,522.335,522.075,522.46,522.07,18531,9704484,-1.02,-0.05
AMD.US,202608101600,470.485,470.405,470.56,470.37,18021,8502820,-3.86,-0.02
ASML.US,202608101600,1735.135,1734.325,1735.82,1732.81,36665,63414943,1.76,-0.05
AVGO.US,202608101600,422.551,422.57,422.63,422.53,8904,3759107,0.48,0.0
BABA.US,202608101600,132.43,132.28,132.435,132.23,224773,29664452,4.31,-0.11
CCJ.US,202608101600,97.48,97.31,97.48,97.29,295217,28768625,-0.08,-0.15
CEG.US,202608101600,270.48,270.38,270.54,270.37,23267,6289099,0.18,-0.03
GOOGL.US,202608101600,357.08,357.14,357.17,357.07,29149,10418096,-0.17,0.02
INTC.US,202608101600,97.53,97.52,97.55,97.51,94398,9211626,-2.29,-0.01
LRCX.US,202608101600,306.4,306.46,306.62,306.4,18602,5708920,0.23,0.02
META.US,202608101600,594.49,594.92,595.1,594.3,170541,101404683,0.85,0.07
MSFT.US,202608101600,505.68,505.97,506.16,505.405,525315,265379912,1.22,0.06
MU.US,202608101600,862.655,862.95,863.0,862.45,20330,17548301,-2.1,0.03
NVDA.US,202608101600,217.675,217.55,217.69,217.53,148947,32490599,-0.66,-0.06
OKLO.US,202608101600,44.61,44.49,44.61,44.49,245818,11011632,-8.12,-0.27
PLTR.US,202608101600,175.2,175.2,175.228,175.19,30890,5417617,12.37,0.0
QCOM.US,202608101600,162.372,162.17,162.42,162.08,2002552,324005760,1.11,-0.12
SNOW.US,202608101600,335.74,334.7,335.74,334.61,125766,42136479,1.27,-0.31
TSLA.US,202608101600,331.131,330.88,331.25,330.69,608735,201459951,3.55,-0.08
TSM.US,202608101600,419.32,419.215,419.33,419.18,7485,3145812,0.24,-0.03
