ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
TSM.US,202608121600,428.845,428.8,428.9,428.8,5788,2485254,2.47,-0.01
AVGO.US,202608121600,415.78,416.05,416.09,415.64,291968,121329195,-1.5,0.06
MU.US,202608121600,912.38,912.315,912.44,912.235,8016,7322549,5.96,-0.01
ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
AMAT.US,202608121600,548.71,548.66,548.71,548.61,3112,1706185,5.08,-0.01
LRCX.US,202608121600,326.26,326.37,326.37,326.24,7425,2421973,6.52,0.03
ASML.US,202608121600,1810.97,1810.06,1813.22,1810.06,37713,68315819,4.42,-0.05
ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
INTC.US,202608121600,100.85,100.95,101.02,100.78,1627328,163991926,3.52,0.1
GOOGL.US,202608121600,343.57,343.54,343.62,343.47,307376,105610658,-3.91,-0.01
MSFT.US,202608121600,492.22,492.43,492.58,492.07,480323,236265332,-2.69,0.04
ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
META.US,202608121600,578.73,578.85,579.135,578.553,349784,202386325,-2.7,0.01
AAPL.US,202608121600,301.91,301.88,301.94,301.87,38081,11490468,-2.07,-0.01
PLTR.US,202608121600,171.072,171.11,171.16,171.03,458652,78480241,-2.35,0.02
ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
SNOW.US,202608121600,333.205,333.265,333.265,333.19,1562,519489,-0.26,0.02
BABA.US,202608121600,125.22,125.22,125.245,125.13,842605,105438056,-5.37,0.0
TSLA.US,202608121600,327.53,327.45,327.66,327.41,346655,113549091,-1.04,-0.02
ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
CEG.US,202608121600,278.85,278.68,278.93,278.65,896556,249341289,3.05,-0.06
CCJ.US,202608121600,99.165,99.03,99.18,99.03,372653,36930448,0.3,-0.14
OKLO.US,202608121600,45.08,45.11,45.11,45.01,225609,10205511,1.39,0.07
ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
NVDA.US,202608121600,224.12,224.14,224.15,224.12,32860,7372475,3.03,0.01
AMD.US,202608121600,483.165,483.07,483.19,483.035,13159,6369855,2.88,-0.02
QCOM.US,202608121600,162.965,162.91,162.98,162.9,14304,2332156,0.46,-0.03
