ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
NVDA.US,202607011600,197.725,197.9,197.9,197.7,303623,60110205,1.5,0.09
AMD.US,202607011600,539.198,539.34,539.34,539.12,14123,7682034,-0.03,0.03
QCOM.US,202607011600,181.91,181.97,181.97,181.9,14983,2743662,-3.58,0.03
ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
TSM.US,202607011600,444.413,444.38,444.59,444.38,18280,8163405,-2.36,0.0
AVGO.US,202607011600,369.645,369.66,369.66,369.62,18626,6882414,-0.75,0.0
MU.US,202607011600,1037.15,1037.485,1037.55,1037.045,60440,62930718,-9.41,0.03
ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
AMAT.US,202607011600,650.4,650.26,650.56,650.2,75253,48525814,-6.39,-0.02
LRCX.US,202607011600,391.04,391.66,391.67,390.985,27358,10696835,-4.68,0.16
ASML.US,202607011600,1840.54,1841.11,1841.11,1840.54,4085,7488707,-2.23,0.03
ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
INTC.US,202607011600,126.965,127.03,127.03,126.961,41446,5249325,-3.56,0.05
GOOGL.US,202607011600,361.345,361.335,361.36,361.33,6229,2249637,2.17,0.0
MSFT.US,202607011600,384.03,384.06,384.08,384.03,16395,6296952,4.2,0.01
ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
META.US,202607011600,613.415,613.295,613.42,613.25,4954,3038596,9.01,-0.02
AAPL.US,202607011600,294.335,294.25,294.69,294.24,1076538,317152000,4.44,-0.03
PLTR.US,202607011600,125.83,125.69,125.86,125.64,848002,106671404,8.63,-0.1
ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
SNOW.US,202607011600,260.71,260.99,261.32,260.685,126375,32980877,2.55,0.11
BABA.US,202607011600,97.96,97.965,97.965,97.96,15611,1527327,2.57,0.01
TSLA.US,202607011600,425.66,425.66,425.66,425.57,7347,3128311,3.36,0.0
ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
CEG.US,202607011600,236.38,236.38,236.39,236.32,2762,651543,-8.85,0.0
CCJ.US,202607011600,97.175,97.39,97.455,97.16,405933,38932279,-4.39,0.22
OKLO.US,202607011600,52.49,52.45,52.58,52.425,1352678,70794898,-0.59,-0.03
