ts_code,time,open,close,high,low,vol,amount,pct_change_1m
INTC.US,202607021600,119.93,120.41,120.54,119.9,2159109,258859764,0.41
GOOGL.US,202607021600,360.35,360.4,360.46,360.35,11229,4046452,0.01
MSFT.US,202607021600,390.82,390.82,390.87,390.8,6947,2716344,0.01
ts_code,time,open,close,high,low,vol,amount,pct_change_1m
META.US,202607021600,583.52,583.54,583.64,583.49,7261,4233449,0.01
AAPL.US,202607021600,308.75,308.86,308.96,308.745,139320,43088649,0.04
PLTR.US,202607021600,129.5,129.535,129.54,129.5,11363,1472219,0.03
ts_code,time,open,close,high,low,vol,amount,pct_change_1m
SNOW.US,202607021600,259.61,260.02,260.73,259.57,194182,50477504,0.16
BABA.US,202607021600,96.2,96.218,96.265,96.2,34350,3304785,0.03
TSLA.US,202607021600,394.05,394.08,394.08,394.05,4853,1908545,0.01
ts_code,time,open,close,high,low,vol,amount,pct_change_1m
CEG.US,202607021600,239.52,239.53,239.53,239.505,1873,448332,0.02
CCJ.US,202607021600,96.35,96.54,96.585,96.35,339474,32560106,0.2
OKLO.US,202607021600,52.44,52.37,52.56,52.34,169819,8960860,-0.11
ts_code,time,open,close,high,low,vol,amount,pct_change_1m
TSM.US,202607021600,434.7,434.715,434.77,434.66,3304,1446855,0.0
AVGO.US,202607021600,360.22,360.22,360.26,360.185,10334,3718845,0.0
MU.US,202607021600,973.62,975.755,977.0,973.09,538452,524380416,0.22
ts_code,time,open,close,high,low,vol,amount,pct_change_1m
AMAT.US,202607021600,602.03,602.02,602.05,601.695,37444,22533521,0.0
LRCX.US,202607021600,350.08,350.135,350.23,349.98,15305,5380822,0.02
ASML.US,202607021600,1768.41,1768.16,1768.71,1768.16,447,790515,-0.01
ts_code,time,open,close,high,low,vol,amount,pct_change_1m
NVDA.US,202607021600,194.83,194.97,194.99,194.82,240669,46887479,0.07
AMD.US,202607021600,516.055,515.875,516.055,515.87,8036,4154808,-0.03
QCOM.US,202607021600,176.37,176.37,176.41,176.37,2749,484942,0.0
