open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
596.82,601.0,587.0,593.41,12009255,META.O,2026-07-28,Meta,"Meta Platforms, Inc.",USD
593.25,599.97,582.22,585.61,22371067,META.O,2026-07-29,Meta,"Meta Platforms, Inc.",USD
526.0,539.88,524.49,539.03,42271465,META.O,2026-07-30,Meta,"Meta Platforms, Inc.",USD
543.6,558.33,540.22,556.71,24261457,META.O,2026-07-31,Meta,"Meta Platforms, Inc.",USD
340.03,342.89,335.6,340.08,51859042,AAPL.O,2026-07-28,苹果,Apple Inc.,USD
339.73,344.5699,337.3501,338.19,56090840,AAPL.O,2026-07-29,苹果,Apple Inc.,USD
333.1,334.75,329.59,333.43,74817792,AAPL.O,2026-07-30,苹果,Apple Inc.,USD
304.81,310.69,300.0,308.91,132489137,AAPL.O,2026-07-31,苹果,Apple Inc.,USD
125.84,127.19,117.89,123.53,43597311,PLTR.O,2026-07-28,Palantir,Palantir Technologies Inc.,USD
124.0,127.28,122.45,123.0,27207863,PLTR.O,2026-07-29,Palantir,Palantir Technologies Inc.,USD
121.14,123.6699,120.27,122.26,27801632,PLTR.O,2026-07-30,Palantir,Palantir Technologies Inc.,USD
122.29,123.39,119.62,123.06,29085068,PLTR.O,2026-07-31,Palantir,Palantir Technologies Inc.,USD
