ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
NVDA.US,202607151600,212.41,212.49,212.5,212.37,1664914,354655088,4.4,0.04
AMD.US,202607151600,529.69,529.83,529.94,529.49,31334,16595030,-0.85,0.03
QCOM.US,202607151600,178.02,178.135,178.22,178.01,38011,6772220,-3.18,0.07
TSM.US,202607151600,419.39,419.65,419.82,418.78,389550,163337833,-0.46,0.06
AVGO.US,202607151600,394.09,394.21,394.21,394.07,18783,7408953,2.65,0.03
MU.US,202607151600,907.23,907.818,908.21,906.91,68728,62439265,-3.11,0.06
AMAT.US,202607151600,579.75,579.44,580.19,579.06,225682,130809501,-2.73,-0.05
LRCX.US,202607151600,335.38,335.43,335.56,335.0,187858,63010384,1.67,0.01
ASML.US,202607151600,1815.24,1815.15,1816.39,1814.9,6819,12393672,5.16,0.0
INTC.US,202607151600,103.08,102.98,103.14,102.88,1088785,112212342,-0.14,-0.1
GOOGL.US,202607151600,370.83,371.0,371.01,370.78,475932,176683393,5.25,0.04
MSFT.US,202607151600,395.345,395.63,395.75,395.11,479379,189619113,1.19,0.07
META.US,202607151600,681.275,681.3,681.56,680.89,241100,164618658,3.74,0.0
AAPL.US,202607151600,327.3,327.515,327.62,327.24,1275930,417141472,3.22,0.07
PLTR.US,202607151600,133.735,133.75,133.785,133.62,325252,43473019,2.85,0.01
SNOW.US,202607151600,272.605,271.87,272.63,271.71,427529,116928190,1.2,-0.27
BABA.US,202607151600,117.7,117.7,117.735,117.65,250727,29575098,4.76,0.0
TSLA.US,202607151600,394.3,394.31,394.52,394.19,381401,150297657,-0.11,0.0
CEG.US,202607151600,257.99,258.115,258.18,257.97,380721,98222658,0.66,0.05
CCJ.US,202607151600,90.945,90.98,91.03,90.92,454911,41201837,-0.64,0.05
OKLO.US,202607151600,45.65,45.72,45.73,45.65,125842,5745963,-1.12,0.15
