ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
AAPL.US,202606171600,295.79,295.86,295.87,295.735,46276,13675120,-0.19,0.02
AMAT.US,202606171600,592.88,592.89,593.48,592.68,57441,33995225,1.21,0.0
AMD.US,202606171600,512.67,512.33,512.77,512.31,11510,5912391,-6.38,-0.06
ASML.US,202606171600,1871.31,1869.34,1871.9,1869.34,7203,13467374,-1.23,-0.11
AVGO.US,202606171600,393.08,393.08,393.15,392.96,36451,14331275,-0.22,0.0
BABA.US,202606171600,107.47,107.465,107.48,107.46,3881,417495,-4.52,0.0
CCJ.US,202606171600,105.71,105.67,105.79,105.59,352992,37047456,-2.05,-0.04
CEG.US,202606171600,267.415,267.4,267.415,267.38,529,140862,-0.22,-0.01
GOOGL.US,202606171600,363.855,363.81,363.86,363.77,12262,4461885,-1.5,-0.01
INTC.US,202606171600,121.19,121.19,121.24,121.18,29146,3533062,-5.22,0.0
LRCX.US,202606171600,374.08,374.14,374.43,373.24,270243,100696387,-3.8,0.02
META.US,202606171600,567.99,567.85,567.99,567.81,11525,6544613,-4.32,-0.02
MSFT.US,202606171600,378.6,378.61,378.63,378.57,19256,7264930,-5.29,0.0
MU.US,202606171600,1042.42,1041.41,1044.68,1040.78,513134,534309344,-4.28,-0.11
NVDA.US,202606171600,204.55,204.58,204.605,204.46,80486,16458749,-3.7,0.01
OKLO.US,202606171600,58.87,58.82,58.99,58.8,1570382,92396243,-3.16,-0.08
PLTR.US,202606171600,130.46,130.47,130.48,130.46,17748,2302718,-3.15,0.01
QCOM.US,202606171600,213.14,212.97,213.41,212.9,2862819,609092784,-3.55,-0.08
SNOW.US,202606171600,234.17,234.52,234.66,233.84,1717715,402300352,-2.6,0.15
TSLA.US,202606171600,395.78,395.755,395.78,395.58,21431,8457555,-3.74,-0.01
TSM.US,202606171600,432.62,432.59,432.7,432.57,2665,1152079,-2.0,-0.01
